# 上海中考英文词汇表（上海市初中英语教学基本词汇表）
# 整理日期 2026-08-03 · 单词 + 词组

# 表（一）单词（Words）
序号,单词,词性(英文),词性(中文),释义
1,able,adj,形容词,能够；有能力的
2,ability,n,名词,能力；才能
3,about,prep,介词,关于
4,above,prep,介词,在……上面
5,abroad,adv,副词,在国外
6,accept,v,动词,接受；认可
7,accident,n,名词,"车祸, 事故；意外的事"
8,accurately,adv,副词,精确地
9,achieve,v,动词,得到；实现
10,across,prep,介词,穿过；横过
11,act,v,动词,扮演; 表演
12,active,adj,形容词,积极的；主动的
13,activity,n,名词,活动
14,actor,n,名词,男演员
15,actress,n,名词,女演员
16,add,v,动词,加上
17,addition,n,名词,加；增加
18,address,n,名词,地址
19,adopt,v,动词,"采用, 采纳；收养"
20,advantage,n,名词,有利条件；优势；优点
21,advertisement,n,名词,广告
22,advice,n,名词,劝告; 忠告
23,afford,v,动词,担负得起……的费用；抽得出(时间)
24,afraid,adj,形容词,害怕；担心
25,Africa,n,名词,非洲
26,after,prep,介词,"在……之后, 在……后面"
27,afternoon,n,名词,下午
28,again,adv,副词,再一次；再；又
29,against,prep,介词,反对
30,age,n,名词,时代；年龄
31,aged,adj,形容词,有……之年岁的
32,agent,n,名词,代理人
33,ago,adv,副词,以前
34,agree,v,动词,同意; 应允
35,ahead,adv,副词,在前
36,aim,n,名词,目的
37,air,n,名词,空气；大气
38,air-conditioner,n,名词,空调
39,airline,n,名词,航线
40,airport,n,名词,机场
41,alarm,n,名词,警报
42,alive,adj,形容词,活着的
43,all,adj,形容词,1.(修饰单数名词)全；总；整
44,allow,v,动词,"允许, 准许"
45,almost,adv,副词,"几乎, 差不多"
46,alone,adv,副词,单独地
47,along,prep,介词,沿着；顺着
48,already,adv,副词,已经
49,also,adv,副词,也
50,although / though,conj,连词,虽然；尽管.
51,altogether,adv,副词,总共；全部地
52,always,adv,副词,总是；永远
53,amazing,adj,形容词,令人惊讶的
54,ambition,n,名词,雄心；野心
55,American,adj,形容词,美国的；美洲的
56,among,prep,介词,在(三者或三者以上)之间；系……中之一；与……在一起
57,amount,n,名词,数量; 总数
58,amusing,adj,形容词,引起乐趣的; 娱人的
59,ancient,adj,形容词,古代的
60,and,conj,连词,和
61,angrily,adv,副词,生气地; 愤怒地
62,angry,adj,形容词,生气的; 愤怒的
63,animal,n,名词,动物
64,another,adj,形容词,再一; 另一; 别的
65,answer,n,名词,回答;答复; 答案; 回(信)
66,any,adj,形容词,"(用于疑问句,否定句,条件句)一些；什么；任何的; 任一的"
67,anybody / anyone,pron,代词,任何人
68,anything,pron,代词,什么事(物)；任何事(物)
69,anywhere,adv,副词,任何地方
70,apologize,v,动词,道歉
71,appear,v,动词,出现
72,apple,n,名词,苹果
73,April,n,名词,四月
74,area,n,名词,面积；地区
75,argue,v,动词,争论；争吵
76,arm,n,名词,手臂
77,army,n,名词,军队；陆军
78,around,prep,介词,adv. 在……周围；环绕
79,arrange,v,动词,安排; 布置
80,arrive,v,动词,到达; 达到
81,art,n,名词,艺术
82,article,n,名词,文章
83,artist,n,名词,艺术家; 画家
84,as,conj,连词,当……时；像……(一样)；如同；因为；由于
85,Asia,n,名词,亚洲
86,ask,v,动词,问；请求；要求
87,assistant,n,名词,"助手, 助理"
88,at,prep,介词,在…… (表示地点、时间、对象、方向等)
89,the Atlantic,n,名词,大西洋
90,attack,v,动词,进攻; 攻击
91,attend,v,动词,"出席, 参加"
92,attract,v,动词,吸引
93,attraction,n,名词,吸引; 吸引力； 吸引物
94,attractive,adj,形容词,有吸引力的
95,August,n,名词,八月
96,aunt,n,名词,姑; 姨; 婶母; 舅母
97,Australian,adj,形容词,澳大利亚的
98,author,n,名词,著者；作家
99,automatic,adj,形容词,自动的
100,autumn,n,名词,秋天; 秋季
101,available,adj,形容词,可用的; 可得到的
102,average,n,名词,平均; 平均数
103,award,v,动词,授予
104,away,adv,副词,离开; 远离
105,awful,adj,形容词,可怕的
106,baby,n,名词,婴儿
107,back,adv,副词,向后；回原处
108,"bad (worse, worst)",adj,形容词,糟糕；可惜；坏的；
109,bag,n,名词,书包；提包；袋子
110,balance,n,名词,平衡
111,ball,n,名词,球
112,balloon,n,名词,气球
113,banana,n,名词,香蕉
114,bank,n,名词,银行
115,bar,n,名词,酒吧
116,base,n,名词,基地; 基础
117,basket,n,名词,篮子
118,basketball,n,名词,篮球
119,bat,n,名词,球拍
120,bath,n,名词,洗澡
121,battle,n,名词,战争; 战役
122,"be (am, is, are, was, were, been)",v,动词,是；成为
123,beach,n,名词,海滩
124,"beat (beat, beaten)",v,动词,敲打; 打败； (心)跳动
125,bear,n,名词,熊
126,beautiful,adj,形容词,美丽的
127,beautifully,adv,副词,优美地
128,because,conj,连词,因为
129,"become (became, become)",v,动词,变得；成为
130,bed,n,名词,床
131,bedroom,n,名词,卧室
132,beer,n,名词,啤酒
133,before,prep,介词,在……前面；在……以前
134,beg,v,动词,请求
135,"begin (began, begun)",v,动词,开始；着手
136,beginning,n,名词,开始；开端
137,behind,prep,介词,在……后面
138,being,n,名词,人；生物
139,believe,v,动词,相信；认为
140,bell,n,名词,钟; 铃
141,belong,v,动词,属; 附属
142,below,prep,介词,在……下面
143,belt,n,名词,带子
144,beside,prep,介词,在……旁; 靠边
145,besides,prep,介词,除了
146,best,adj,形容词,( good 和 well 的最高级形式) 最好的
147,better,adj,形容词,(good 和 well 的比较级形式) 较好的
148,between,prep,介词,在(两者)之间
149,bicycle / bike,n,名词,自行车
150,big,adj,形容词,大的
151,bill,n,名词,钞票，纸币；帐单
152,bin,n,名词,箱子，垃圾箱
153,bird,n,名词,鸟
154,birthday,n,名词,生日
155,biscuit,n,名词,饼干
156,bit,n,名词,一点；一些
157,"bite (bit, bitten/bit)",v,动词,咬
158,black,n,名词,黑色
159,blackboard,n,名词,黑板
160,blanket,n,名词,毯子
161,blind,adj,形容词,瞎的
162,block,n,名词,一排房屋；街区（四条街道中间的区域）；大块
163,"blow (blew, blown)",v,动词,吹；刮风; 吹气
164,blue,n,名词,蓝色
165,board,n,名词,板；木板
166,boat,v,动词,划船 (游玩)
167,body,n,名词,身体; 躯体
168,boil,v,动词,煮
169,bone,n,名词,骨头
170,book,n,名词,书；本子
171,boring,adj,形容词,令人厌烦的
172,borrow,v,动词,(向别人)借; 借用
173,both,pron,代词,两者(都); 两人(都); 双方
174,bottle,n,名词,瓶
175,bottom,n,名词,底部
176,bowl,n,名词,碗
177,box,n,名词,箱；盒
178,boy,n,名词,男孩
179,brave,adj,形容词,勇敢的
180,bread,n,名词,面包
181,"break (broke, broken)",v,动词,打破；打断
182,breakfast,n,名词,早饭
183,breath,n,名词,呼吸
184,bridge,n,名词,桥
185,brief,adj,形容词,简短的，简洁的
186,bright,adj,形容词,明亮的; 聪明的
187,brightly,adv,副词,明亮地
